"[ 이번주에도 어김없이 하이브리유모차꺼내들고 놀러갔다왔지용현재 승차하고 계신분은 우리집 둘째 두콩이너무 숙면하길레 집에서 지하주차장까지만 태웠어요 ], 긍정 텍스트 확률 : 63.31%"
"[너무 맘에 들어요 ...?...? ......... ..?....... 본문 이미지], 긍정 텍스트 확률 : 91.91%"
"[위틀스토어에서 새롭게 런칭한하이브리드 유모차 캐비플러스 ], 긍정 텍스트 확률 : 58.51%"
"[ 비닐 포장으로 한번더 꼼꼼하게 컬러는 블랙이 아닌 브라운으로 선택했어요 그 동안 사용했던 유모차컬러는 모두 블랙이었는데요], 긍정 텍스트 확률 : 61.99%"
"[ 수화물로 보낼 때 때가 타거나 기스생길걱정이 없어요 손잡이 끈이 있어 들고 다니기도 편하구요], 긍정 텍스트 확률 : 87.58%"
"[ 이렇게 유모차가 한번에 펴져요 유모차를 펴소 엄청 놀랐는데요], 긍정 텍스트 확률 : 55.30%"
"[ 길이가 무려 라 제 가슴팍까지 올라오더라고요키가 작은 저에겐 조금 높다는 느낌? ], 긍정 텍스트 확률 : 95.13%"
"[ 제가 하이브리드 유모차를 보고한눈에 반한건 바로 요 섀시 때문이예요견고하기도 하지만], 긍정 텍스트 확률 : 50.93%"
"[엄청 럭셔리해보였달까요 차체 흔들림을 최소화하여 최대 까지 견딜 수 있고 무게 분산으로 주행중 쉽게 흔들리거나 넘어지지 않아요 ], 긍정 텍스트 확률 : 88.04%"
"[ 앞바퀴에 비해 높은 뒷바퀴로 안정적인 승차감 충격 완화 장치로흔들림 방지가 제대로 되는 휴대용 유모차예요 실제로 보면 뒷바퀴가 엄청 큰데요 제가 그 동안 사용했던 유모차들과는 확연히 다른 모습이예요], 긍정 텍스트 확률 : 94.67%"
"[ 단 조절 가능한 캐노피로 햇빛을 완벽하게 차단해줍니다 매쉬창을 연결하면 연장하여 사용 가능하고], 긍정 텍스트 확률 : 91.74%"
"[ 아기의 상태도 수시로 확인할 수 있어요], 긍정 텍스트 확률 : 76.84%"
"[가랑이를 잡아주어아기가 주행중 일어날 수 없도록 해줘요], 긍정 텍스트 확률 : 76.79%"
"[ 원스텝 브레이크로 한번의 터치로 뒷바퀴를 모두 제어 할 수 있답니다], 긍정 텍스트 확률 : 78.77%"
"[ 아래쪽에는 제법 넉넉한 장바구니도 있어짐을 올려놓기 좋구요요건 나중에 실제 장보면서 파헤져볼께요], 긍정 텍스트 확률 : 53.56%"
"[ 자고 있던 찰떡이를 깨워 유모차에 탑승시켰어요 ㅋㅋ처음엔 징징거리더니], 긍정 텍스트 확률 : 84.47%"
"[이내 편한지 좋아하더라고요], 긍정 텍스트 확률 : 82.89%"
"[실용성을 모두 갖춘하이브리드 유모차 캐비플러스 왜 대세 휴대용유모유모차인지 언박싱 만으로도 느껴졌어요 두번째 후기는나들이 다녀와서더 생생하게 남겨보도록 할께요], 긍정 텍스트 확률 : 93.47%"
"[ 휴대용 유모차 고르는팁 하이브리드 유모차 무조건 구매각 ], 긍정 텍스트 확률 : 57.78%"
"[신생아때 사용하던 디럭스유모차선배맘들이 정말 디럭스는 신생아때 잠깐 사용한다더니 개월이 된 지금 벌써 너무 무겁게 느껴져요.특히 나들이 가려고 트렁크에 실으면 반이상 자리를 차지하는데다 무거워서그냥 아기띠 메고 다니자며 안가지고 나가게 되더라구요.아직 돌도 안됬지만 휴대용 유모차가 절실하게 필요함을 느끼고 검색돌입휴대용 유모차 고르는팁 디자인], 긍정 텍스트 확률 : 78.78%"
"[카시트를 싫어하는 아이들이라 딱히 필요가 없다 생각했었거든요.막둥이만큼은 신생아때부터 연습을 열심히 시켰더니 그래도 제법 잘 타는지라 휴대용 유모차가 절실히 필요해졌답니다.역시 휴대용 유모차라 그런지 박스포장도 무게도 저 혼자 나를 수 있을만큼 딱 적당했어요. ], 긍정 텍스트 확률 : 95.82%"
"[제품을 열자마자 완제품으로 들어있어서 또한번 감동을사실 왠만한 큰 제품들은 조립을 해야하다보니 남편이 꼭 필요했거든요.하이브리드 유모차는 완제품 그대로 그냥 펼치기만 하면 되기 때문에 너무 편했답니다.유모차 보관가방과 함께 드디어 개봉박두], 긍정 텍스트 확률 : 85.49%"
"[브라운스톤 총 가지 색상이 있어요.휴대용 유모차 치고 정말 디자인이 날씬하고 가볍게 잘 빠졌고어쩜 색상도 이렇게 고급스럽고 세련됬는지 받자마자 정말 감탄만 몇번했는지 몰라요 ], 긍정 텍스트 확률 : 96.87%"
"[저는 유모차를 고를때 가장 중요시 하는게 핸들링과 폴딩인데요.일단 아기를 태우고 다닐때 아기가 편안하도록 스무스하게 핸들링이 좋으면 좋겠고저 혼자 외출시에도 가볍게 폴딩과 언폴딩이 가능해서 휴대가 편했으면 좋겠더라구요.하이브리드 유모차의 가장 큰 장점이자 강점인 쉬운 폴딩과 언폴딩이에요.그 비밀은 바로 이 손잡이에 있답니다 ], 긍정 텍스트 확률 : 72.03%"
"[여자 혼자서 그것도 한손으로 폴딩언폴딩이 가능하다는 사실 진짜 대박 ], 긍정 텍스트 확률 : 94.29%"
"[안정감 있는 차체설계 ], 긍정 텍스트 확률 : 68.32%"
"[휴대용 유모차의 튼튼한 내구성으로 차체 흔들림을 최소화하고 신생아부터 개월까지 탈수 있기 때문에 까지 안전하게 승차할수 있어요.또한 유모차에 가해진 무게가 고르게 분산될 수 있도록 설계되어주행 중 쉽게 흔들리거나 넘어지지 않고 안정감 있게 사용할 수 있답니다. ], 긍정 텍스트 확률 : 93.21%"
"[한번의 터치로 뒷바퀴를 동시에 제어하는원스텝 튜빙 브레이크가 있어요. ], 긍정 텍스트 확률 : 51.31%"
"[손목에 부담을 줄여주는인체공학적인 디자인의 핸들거기다 세련되고 견고한 가죽 터치감으로 편안한 그립감까지이젠 한손으로 편안하고 가볍게 유모차를 끌 수 있답니다. ], 긍정 텍스트 확률 : 51.69%"
"[아이 성장 맞춤 와이드 시트 ], 긍정 텍스트 확률 : 50.77%"
"[성장하는 아이의 신체사이즈와 움직임을 배려한 넓은 시트와 넉넉한 공간이 참 매력적이에요.탄탄한 내부재에 푹신함을 더해 바른자세를 유지할수 있는 편안한 쿠션시트에요. ], 긍정 텍스트 확률 : 99.89%"
"[기존의 유모차들은 각도조절이 ], 긍정 텍스트 확률 : 59.15%"
"[바람등을 가려주고 막아줄수 있는 기능이라 이왕이면 좀 넓고 깊었음 좋겠다 싶거든요.휴대용 유모차임에도 불구하고 무려단 풀캐노피에 메쉬통풍창까지 있어요. ], 긍정 텍스트 확률 : 90.75%"
"[캐노피 가운데 지퍼가 있어서 여닫을수 있는데요.지퍼를 양옆으로 열어주면 메쉬로 확장되는 캐노피 기능이 있어서통풍도 가능하고 위에서], 긍정 텍스트 확률 : 64.56%"
"[옆에서 아이의 상태를 쉽게 확인할 수도 있어서 좋아요. ], 긍정 텍스트 확률 : 80.10%"
"[또한 아기가 안전하게 탈수 있도록 도와주는 가장 중요한 안전벨트 점식 안전벨트로 어깨], 긍정 텍스트 확률 : 83.09%"
"[시트 가운데 안전가드가 있어서 아기가 승하차를 좀더 쉽게 할수 있고점식 안전벨트와 함께 이중으로 안전하게 보호해줄 수 있어요. ], 긍정 텍스트 확률 : 77.27%"
"[시트는 사이드에 모두 버튼으로 고정되어 있어 분리가 가능하기 때문에오염시 세탁하기가 편리하답니다.이젠 무거운 디럭스 유모차 대신 가볍고 핸들링좋은 하이브리드 유모차타고 나들이 가야겠어요.], 긍정 텍스트 확률 : 68.73%"
"[해당 업체로부터 무상제공 받아 작성된 후기입니다], 긍정 텍스트 확률 : 51.13%"
"[ .?휴대용유모차휴대용유모차.?하이브리드유모차하이브리드유모차.?유모차추천유모차추천 .?휴대용유모차추천휴대용유모차추천.?하이브리드캐비플러스하이브리드캐비플러스 .?유모차개봉기유모차개봉기요새 휴대용유모차 중에서도 기내반입이되고 가볍고 예쁜 유모차들이 많이 나와서 고르기가 힘든데요제가 허리가 안좋아서 아기띠를 잘 못하는 탓에 유모차를 많이 쓰는 편이에요게다가 지금은 등하원을 유모차로 하고 있어서 더욱 튼튼한 유모차가 절실해지는 때에 만난 하이브리드 유모차개봉기를 지금 바로 소개해드릴게요 ], 긍정 텍스트 확률 : 86.36%"
"[지금 런칭 기념으로 보관가방까지 증정이고 도노노노 유모차라이너랑 블랭킷도 준다고해요포토상품평까지쓰면 하이브리드 전용 방풍커버에 끌라미엘 워머까지 준다고하니 챙겨가세용ㅋㅋㅋ역시 잘퍼주는 위틀스토어♡ ], 긍정 텍스트 확률 : 97.51%"
"[단으로 확장할 수 있는 풀캐노피와 매쉬통풍창이에요양대면이 아니라서 주행중에 아이 상태도 확인할 수 있는 기능인데요 여기 지퍼를 열면 끝 ], 긍정 텍스트 확률 : 85.99%"
"[자 모양의 안전가드로 한번 더 안전하게 잡아줄 수 있어요아이가 여기에 팔걸이처럼 잡으면서 가니 더 편안함을 느끼더라구요 ], 긍정 텍스트 확률 : 56.45%"
"[안전가드가 싫으신 분들은 아래쪽에 버튼 누르고 뽑으면 된답니다ㅎㅎ ], 긍정 텍스트 확률 : 71.66%"
"[조절할 수 있는 다리받침으로 아이가 편한 포지션에 맞춰서 앉힐 수 있어요 ], 긍정 텍스트 확률 : 62.80%"
"[단 어깨끈 조절로 아이 체형에 맞게 조절하기도 편하고 여기 받침부분 시트가 푹신하고 도톰해서 마음에 들었어요 ], 긍정 텍스트 확률 : 70.98%"
"[시트 전체 모습을 보면 매우 튼튼하고 안정감이 드는 모습이에요고급 쇼파에 앉는 느낌이 들 듯요ㅋㅋㅋ ], 긍정 텍스트 확률 : 97.14%"
"[흔들림 완화 바퀴 구조로 휴대용 유모차임에도 불구하고 주행시 굉장히 안정감이 있어요 ], 긍정 텍스트 확률 : 60.59%"
"[직성 주행 앞바퀴 레버는 제가 잘 쓰지 않는 기능이지만 소개해드리자면 요거를 누르면 바퀴가 돌아가지 않고 직선주행을 원활하게 해주는 기능이에요 ], 긍정 텍스트 확률 : 89.52%"
"[특히 지퍼부분의 고급짐은 하이브리드의 매력이네요ㅋㅋㅋ ], 긍정 텍스트 확률 : 93.16%"
"[하원하고 돌아온 딸래미일부러 오면 바로 타보라고 거실에 떡하니 뒀더니바로 타겠다고 입성ㅋㅋㅋㅋ아직 새거라 집에서 탈 수 있는 거란다ㅋㅋㅋ ], 긍정 텍스트 확률 : 79.24%"
"[전 엘베 없는 층에 살고 있어서 현관에 유모차를둘 수가 없고 층에 세워둬야 했는데요워낙 사람들이 많이 오가다 보니 금방 먼지가쌓여서 아이가 타야 하는데 위생이 늘 걱정그래서 집에서 가지고 내려가고 올라갈 수 있도록콤팩트하면서 가벼워야 했어요. ], 긍정 텍스트 확률 : 75.47%"
"[또한 셀프 스탠딩이 되는지..현관에 두고 사용하는 경우에 접어서 세워두면자리 차지하지 않고 참 좋은데요셀프 스탠딩이 안되는 경우는 어딘가에 기대어두어야하고 넘어지면 바닥에 닿으니까 또 더러워지잖아요거기에 카페나 음식점에서도 생각보다 유모차가자리를 많이 차지하다 보니까 들어가기 불편할 때도콤팩트하게 접히고 세워둘 수 있어서 가족 외식도굉장히 편했어요또한 셀프 스탠딩이 되더라도 손잡이가 바닥을향하지 않는 제품이어야 깨끗하게 사용할 수 있어요.그런 점에서 하이브리드 유모차는 안성맞춤 ], 긍정 텍스트 확률 : 97.89%"
"[바구니에 어깨끈이 있기 때문에 메고 이동할 수있어서 그 점도 정말 좋아요.가끔 끈을 따로 가지고 다니면서 걸어야 하는제품들도 있더라고요. 그럼 정말 불편하죠.. 하이브리드 유모차는 엄마도 어깨에메고 다닐 수 있어서 아이와 둘만 외출할 수 있어요. ], 긍정 텍스트 확률 : 95.84%"
"[또 차에 싣기에도 좋은 크기라 이동이 편하죠카시트와 비교했을 때 오히려 더 작더라고요.트렁크가 큰 차이긴 하지만 작은 차에도 충분히실릴만한 크기라서 아주 좋아요 ], 긍정 텍스트 확률 : 96.84%"
"[사실 휴대가 쉽다는 것은 접고 펴는 것도 쉬워야한다는 걸 뜻하는데 하이브리드 캐비플러스는버튼을 옆으로 밀고 앞으로 돌려서 접고 펴기만하면 되니까 한 손으로도 충분히 쉽게 할 수 있고남녀노소 누구나 큰 힘을 들이지 않고도단 폴딩이 되기 때문에 너무 편해요. ], 긍정 텍스트 확률 : 99.23%"
"[이렇게 쉽게 접고 펼칠 수 있다 하더라도한 손으로 단 폴딩이 가능하지 않은 제품들이생각보다 많으니 꼭 폴딩이 편한지는 자세히제대로 알아보셔야 해요.이동과 수납이 편하기 위해 고르는 건데한번에가 아니라 두세 번 손이 가는지는 꼭확인을 하셔야 나중에 고생을 안 해요 ㅋㅋ ], 긍정 텍스트 확률 : 97.97%"
"[휴대용 유모차를 끌어보신 분이라면 많이 느낄 텐데생각보다 덜컹거려요.아무래도 가볍기 때문에 바퀴가 지면에 닿으면서생기는 마찰이 생각보다 많이 전달되거든요.그렇기 때문에 개월 수가 얼마 되지 않은 아기들은피하는 이유가 이것 때문그리고 제가 어디선가 봤는데 유모차로 인한흔들림증후군도 꽤 심각하게 생각해야 하더라고요.그래서 유모차 라이너 등 보조가 되는 제품을사용하긴 하지만 그래도 제일 중요한 것은유모차가 충격을 흡수해줘야 한다는 것 ], 긍정 텍스트 확률 : 99.48%"
"[디럭스 바퀴 보신 적 있으세요? 바퀴 엄청 커요아무래도 안정감을 위해서인데 하이브리드는일반적인 앞바퀴 인치보다 뒷바퀴가 인치로 제작되어동급 유모차들 중에서는 최대 크기랍니다.또 네 바퀴 독립 충격 완화장치이기 때문에 안정감이 있어요지금 살고 있는 동네가 지하철 공사 때문에울퉁불퉁한 길이 꽤 많거든요확실히 흔들림이 많이 줄고 안정감이 있어서끄는 동안에도 팔에 힘이 많이 들어가지 않음을느낄 수 있었어요.확실히 안정감이 있으니 핸들링도 좋게 느껴지고요사실 외출하면 신랑이 매번 끌고 다니는데너무 좋아해요 ㅋㅋ확실히 편하다고핸들링 너무 괜찮다고 ], 긍정 텍스트 확률 : 99.35%"
"[벨트도 안전하지만 바가 있어요.많은 후기들을 보시면 알 수 있듯이 아이들이바를 그렇게 좋아한대요 ㅋㅋ사실 처음엔 오히려 불편하지 않을까 했는데아이도 딱 잡고 안정감을 느끼는 듯하고지금은 벨트 해도 잘 앉아있지만 좀 더 크면사실 벨트는 하지 않으려 하잖아요그럴 때 바가 있으면 좀 더 안전하죠 ], 긍정 텍스트 확률 : 87.34%"
"[바도 분리가 가능해요다리 받침대를 들어보면 버튼이 있는데 꾹 누르고바를 뽑아내면 된답니다. ], 긍정 텍스트 확률 : 63.61%"
"[또 좋은 점은 위로도 넉넉해요.캐노피를 닫아도 공간이 남으니까 큰 아이들도머리가 닿거나 할 염려 없겠더라고요어떤 제품은 머리가 닿아서 캐노피를 못 닫는다고 ㅋㅋ ], 긍정 텍스트 확률 : 63.51%"
"[각도 조절은 필수랍니다.최대한 세울 수 있고 눕힐 수 있는지.아이들은 클수록 눕는 걸 싫어하잖아요최대한 위로 올린 뒤 버클을 조이거나 아이가 어리거나졸려 할 때에는 버클을 풀어서 눕혀주면 되는데우리 아이도 졸릴 때쯤 눕혀놓으니까 엄청 잘 자요 ㅎ ], 긍정 텍스트 확률 : 99.81%"
"[큰 아이들은 사실 다리 받침대가 필요 없긴 한데우리 딸은 내려서 사용해도 되긴 하지만올려두는 게 더 안정감이 있더라고요.내려서 사용하면 신나는지 자기가 다리를 흔들어요 ㅋ단 다리받침으로 아이 다리 흔들림을 줄여줘서긴장과 피로를 줄여준대요.전 일직선으로 사용하고 있어요. ], 긍정 텍스트 확률 : 65.45%"
"[또 좋았던 건 다리 받침대가 꽤 넓어요다리 긴 아이도 충분히 펼치고 있을 수 있어요.그리고 다리 받침대 아래에 발 받침대가 있어서큰 아이들은 다리를 접고 발을 받칠 수 있으니실용적으로 사용할 수 있어요. ], 긍정 텍스트 확률 : 94.98%"
"[메쉬로 확장되는 캐노피라 통풍도 되고아이가 잘 있는지 확인도 할 수 있고무엇보다 벨크로가 아니라 지퍼라서 아이가 자더라도소음 없이 열고 닫을 수 있어요.또 풀캐노피라서 확실히 햇빛을 잘 가려주더라고요여름에 햇빛 때문에 캐노피를 최대한내리고 아이를 최대한 세워서 이동했음에도햇빛 차단이 안되는 제품들은 너무 아쉬웠는데지금은 앞이 안 보이니까 오히려 아이가 캐노피 밑으로고개를 숙여서 바깥 구경을 하더라고요 ㅋㅋ휴대용 유모차가 다 거기서 거기 같아도은근히 디테일이 다르기 때문에 이 부분이아쉽다고 하는 부분까지 참고하시면 선택하는데많은 도움이 되거든요하이브리드 캐비플러스는 휴대용이지만 절충형을결합한 유모차이기 때문에 장점이 많아서아이도 안전하게 타고 엄마도 피로감이 줄어서만족하며 사용 중이랍니다], 긍정 텍스트 확률 : 88.42%"
"[휴대용유모차 안전성실용성휴대성 모든 것이 완벽한 하이브리드], 긍정 텍스트 확률 : 74.76%"
"[아따하이브리드유모차 만나고나서는방콕을 할수가 없다 그 핸들림의 감촉을 잊을 수 없어 자꾸만 외출을 부른다 불러 개월 아우개월 형아 비글형제들 데리고 나가는 외출은 아빠없이는 엄마 혼자서는 상상조차 못 할 꿈속이야기였는데 한 손 폴딩에 간편함과 언제 어디서든 안전한 주행 큰아이든 작은아이든 올케어가능한 이 미친 외출어벤져스템 외출이 반가워진 단 하나의 이유], 긍정 텍스트 확률 : 99.71%"
"[어제는 개월 아우 오늘은 개월 형아ㅎㅎ 비글형제 누구든 다 드루와드루와 엄마가 인생 가을바람 솔솔콧바람 쐬게해줄테니까 런칭되자말자 유모차추천 순위 등극해주신 위틀스토어 캐비플러스로가을갬성 뽐뿌타시는 中 활동력 갑오브갑 큰아들녀석 사실외출하면 뛰어다니기대마왕이라서 아기띠라던가 유모차엔 갑갑해서 그런지 잘 탑승을 안할려고하드라구요 그래서 남들 다하는 여유라운 산책이라던지 이런것도 엄마에겐 그림의 떡이였는데 드디어 우리 안군이 인생 유모차 만났다엄마도 우아한 산책행을 할 수 있게되었다면서 ▼ ], 긍정 텍스트 확률 : 99.92%"
"[경계를 찾아 볼 수 없는 탄생자체가 경이로운휴대용유모차 ], 긍정 텍스트 확률 : 51.90%"
"[휴대용과 절충형 강점만을 퍼펙트하게 결합해 최상의 시너지효과를 낸 프리미엄 유모차정말 기존에 절충형을 끌면서 불편했던 점기존에 휴대용을 끌면서 불편했던 점 이 모든 것을 완벽하게 해소하고 새로운 퍼펙트함으로 엄마감동시켜주니 어느 누구에게도 두손모아 강츄 할 수 밖에 없는 안정성실용성휴대성 놀라운 육아잇템 ▼ 주 써 본 사람만이 말해드릴 수 있는 진짜 리얼 후기 각 ▼ ], 긍정 텍스트 확률 : 94.89%"
"[바퀴 모두다 똑같았던 휴대용유모차는 큰 뒷바퀴로 리얼 주행 안정감 ↑흔들림 완화 바퀴와 함께 바퀴 독립이라 울퉁불퉁 비포장 도로도 오키도키마찰 감소 장치로 흔들린증후군 예방과 출산 후 늘어난 엄마의 손목 보호까지 장시간 핸들링에도 피로하지 않은 비밀모두다 아기과학설계에 있었구먼], 긍정 텍스트 확률 : 94.91%"
"[우리 아가의 안전은 엄마의 발끝에서 시작해서 발끝으로 끝나요원스텝 브레이크 갑자기 어떤 사고가 닥쳐도 한번의 터치로 뒷바퀴를 동시에 제어하는 튜빙브레이크안정성만큼은 어떤 휴대용에 비교해도 지지않는 유모차추천 ♡ ], 긍정 텍스트 확률 : 52.86%"
"[하이브리드 캐비 플러스이래서 놀랍다 두번째● 실용성 ●일단 받아봤을때 완제품으로 배송됨이 너무 좋음 휴대용인데도 불구하고 수령후에 조립해야하는 것들은 결국 부실하다는 느낌이 있었는데완벽한 완제품으로 수령하니 믿음척여기다 한손으로 단폴딩접어서 보관파우치에 보관도 가능저희 집처럼 좁은 현관에 보관엘베가 없는 층 식당가도 종횡무진 할 수 있는 이동성 ], 긍정 텍스트 확률 : 88.04%"
"[멀리 떠나는 여행지에서도 언제 어디서든 함께 할 수 있는 육아조력자 하이브리드유모차 ♡남편보다 더 열일할 때가 많드라 ㅋㅋ? ], 긍정 텍스트 확률 : 60.90%"
"[휴대용유모차 탑승시 다리가 흔들리지않게 단계 다리받침 조절로 긴장감과 피로도도 낮춰주고 다리 짧은 우리 안군이도 다리 긴 우리 투콩이도 언제나 바른자세로 잡아 줄 수 있으니 이토록 놀라운 유모차 물개박수 짝짝짝], 긍정 텍스트 확률 : 96.16%"
"[하이브리드유모차랑 함께하는 외출은 무겁지않게 어마무시한 장바구니로 엄마는 가벼웁게 발걸음 룰루랄라엄마의 외출의 품격까지도 올려주는 우리 집 유모차더이상 검은 봉다리 들고다니지않겠어], 긍정 텍스트 확률 : 61.62%"
"[비가 오나 눈이 오나 햇빛이 쨍쨍하나 함께하고 싶은 마음 잘 아니깐 단 풀캐노피메쉬 통풍창으로 햇빛은 가려주고 아이의 상태는 현실써치가능하게이런 세심배려가 엄마의 사랑을 독차지하는 애정육아템 하이브리드캐비플러스 신의 한수가 아닐까 싶네요], 긍정 텍스트 확률 : 80.48%"
"[가지 컬러도 죄다 세상 이쁨 쳐발한 컬러들이라 선택하기 힘들 수 있다며 예쁨주의보 발령 삐뽀삐뽀 ㅎ ], 긍정 텍스트 확률 : 91.20%"
"[유모차추천 함께하면 우리 아이가 더 반짝이며 빛나보여요 말하지 않아도 보여 줄 수 있는 차원이 다른 프리미엄휴대용 유모차 하이브리드 ♡ ], 긍정 텍스트 확률 : 63.70%"
"[내 유모차는 내가 지킨다며 ♡ 걸을때도 하이브리드부터 챙기는 안군이ㅎ 내일은 동생이랑 다같이 산책나오자꾸낭], 긍정 텍스트 확률 : 59.38%"
"[ 아가랑 외출하려면 짐이 짐이 정말 장난이 아니에요 그리고 하루종일 아기띠로는 견디기가 힘들어요허리가 너무 아파요그래서 유모차가 필요한데 외출할때 너무 힘든 폴딩이나 크고 무거운 유모차는 절대 가져다닐수가 없어요특히 남편이 없을때 아가도 챙겨야하고유모차도 낑낑거리며 하기엔 힘이 역부족이죠하이브리드 휴대용 유모차를 만나면서정말 외출이 즐거워 졌어요], 긍정 텍스트 확률 : 99.73%"
"[같은 휴대용 유모차라도 동금 최대 바퀴가 적용되어있어 엄마의 운전실력을 자만하게되요 ㅎㅎㅎㅎㅎㅎㅎㅎㅎ한손으로도 너무나도 운전이 잘되서 깜짝놀랬거든요 그리고 아가에게는 흔들림 방지가 되고 아이의 승차감 또한아주 고급세단을 탄 느낌이에요 부드러운 운전이 되니 말이죠 ], 긍정 텍스트 확률 : 97.28%"
"[그리고 원터치 브레이크아랫쪽 사진이 브레이크가 걸린 모습이에요 너무나도 쉽게 브레이크가 걸려서 급할땐 정말 짱이에요 여러대의 유모차를 써봤지만 하이브리드 휴대용유모차가 정말 쵝오 에요], 긍정 텍스트 확률 : 99.87%"
"[시티 아랫쪽에 단으로 다리받침을 조절할수 있는 다리받침이 있어요 필요에 따라 다리받침을 올렸다 내렸다도 쉬워서편하답니다 ], 긍정 텍스트 확률 : 50.96%"
"[그리고 시트가 딱딱하지 않고 올록볼록엠보싱이 있어서 아이가 누워 있어도 안심이에요 ], 긍정 텍스트 확률 : 81.95%"
"[어깨끈은 단깨로 조절할수 있어요어깨쪽에 버클이 있어서 버클을 빼서 어깨 조절을 해주면되요 ], 긍정 텍스트 확률 : 50.83%"
"[안전벨트는 점식으로 되어있어 더욱더 안전해요 어깨 쪽에 있는 버클을 합체시킨다음에 아랫쪽 버클에 끼워주면점식 안전벨트 완성하이브리드 휴대용유모차는 참 하이브리드 적이죠?ㅎㅎㅎㅎㅎㅎ풀때도 가운데 동그란 에이치를 눌러주면되요 버튼도 얼마나 큰지 아주 잘 눌를수가 있어요], 긍정 텍스트 확률 : 97.59%"
"[ 등받이 조절은 요 뒤에있는 이 끈으로 해요 양쪽에 있는 버튼을 누르고끈을 당기면 시트가 올라가구요풀면 시트가 내려와서 아기가 자고있어도 깨우지 않고조심스레 각도를 조절할수 있어요], 긍정 텍스트 확률 : 57.77%"
"[폴딩과 언폴딩 둘다 너무나도 간단하게되서 정말 편해요], 긍정 텍스트 확률 : 72.03%"
"[한손으로 폴딩], 긍정 텍스트 확률 : 54.21%"
"[해당 업체로부터 무상제공 받아 작성된 후기입니다], 긍정 텍스트 확률 : 51.13%"
"[ 육아 년차 채예랑년간 두아이를 키우면서 정말 많은 유모차를 사용해본 블로거입니다.실제로 저는 디럭스 유모차 대], 긍정 텍스트 확률 : 85.52%"
"[ 쌍둥이 유모차 대], 긍정 텍스트 확률 : 53.28%"
"[웨건 대가 있었는데 사용해보고 필요없다 생각되는건 중고로 판매했구요 지금 남은건 휴대용 대], 긍정 텍스트 확률 : 90.53%"
"[웨건 대], 긍정 텍스트 확률 : 53.28%"
"[디럭스 대 이렇게 있네요 저는 상황에 따라 유모차를 골라 사용하는데저만 그런건 아니겠죠 ..?ㅎㅎ장거리 여행을 가는데 큰 차를 타고 간다 하면 저는 두 아이를 같이 태울 웨건을 챙기고], 긍정 텍스트 확률 : 95.62%"
"[제가 친정식구들이랑 정말 많이 놀러가는데놀러 갈때마다 휴대용 유모차를 끌고나온 엄마들의 유모차를 보면 안전바 부분이자로 되어 있는 유모차가 많더라고요 그래서 정말 궁금했어요..ㅠㅠ도대체 저 유모차는 어디꺼지?왜이렇게 심플하니 멋지지?딱 봐도 정말 좋아보인다끌고 다니는 엄마들이 정말 편해보였거든요 ], 긍정 텍스트 확률 : 85.31%"
"[기존에 제가 사용하던 휴대용 유모차는단 폴딩이 장점이였고나름대로 휴대용 유모차치곤 핸들링이 좋았음.근데 폴딩 방식이 정말 빡침 저희 아부지도 저희가 기존에 사용하던휴대용 유모차 접다가 피보셨고..저도.. 저희 남편도 년을 사용하면서도손가락에 피멍든적이 한두번이 아님년을 사용하면서도 폴딩할때마다너무나 힘들었었는데 ㅠㅠ근데 나와 처음 만난 하이브리드 휴대용유모차는제가 년 사용한 사람처럼정말 폴딩이 초간단♥펴는 것도 간단접는 것도 간단 진짜 말 그대로 초.간.단 ], 긍정 텍스트 확률 : 83.58%"
"[일딴 하이브리드 휴대용유모차 캐노피부터하나하나 차근차근 보여드릴게요휴대용 유모차지만 왜 절충형에 가깝다 하는지는제 이번 개봉기를 보면 아실 것 같네요 ㅎ하이브리드 휴대용유모차 캐노피는단 풀캐노피에요 ㅎㅎ깨작 내려오는 휴대용유모차 캐노피와는정말 다른 단 풀캐노피란 말입니다또], 긍정 텍스트 확률 : 99.03%"
"[메쉬로 확장되는 캐노피로통풍은 물론], 긍정 텍스트 확률 : 61.03%"
"[그리고 핸들이 신기하게 휘어졌더라고요.인체공학적 디자인에 가죽 터치감으로그립감이 정말 뛰어났습니다], 긍정 텍스트 확률 : 92.73%"
"[ 어깨끈을 허리끈에 연결해서 버클을 채워야하는 제품같은 경우는 끈이 정말 잘 꼬이더라고요ㅠ근데 이 벨트는 어꺠허리끈이 하나다 보니까 확실히 끈이 안꼬이더라고요], 긍정 텍스트 확률 : 77.97%"
"[조절하는 방법도 정말 쉽고], 긍정 텍스트 확률 : 72.48%"
"[그리고 이건 정말 칭찬해줘야함 휴대용 유모차는 보통 돌지난큰 아이들이 타잖아요아이가 앉아있으면 문제가 되지 않아요.근데 아이가 잠들어 눕혔을때머리를 받쳐줄 수 있는게 없음 제가 전에 사용하던 제품은아이 머리가 밖으로 튀어 나와서그냥 앉혀서 재웠었어요 그래서 그런지 아이가 잠자는걸 굉장히 힘들어 했고], 긍정 텍스트 확률 : 73.49%"
"[다리 받침은 단으로 조절할 수 있어고], 긍정 텍스트 확률 : 58.97%"
