"[ 이제는 매트 없는 곳은 위험하네요..요리할때도... 화장실 갈때도...설치 안하려고 했지만결국 베이비룸 설치 결정], 긍정 텍스트 확률 : 65.95%"
"[ 자 그다음 카시트에도 달아 보았어요카시트도 아직 적응기인데목적지까지 쪽쪽이 물려가며 겨우 갔었거든요그런데 카시트모빌로 제격이네요카시트에 태우자마자 모빌에 눈을 고정하고 목적지 도착할 때까지 눈을 떼지 못하더라구요 ], 긍정 텍스트 확률 : 72.52%"
"[고정도 어디나 손쉽게 가능해서유모차 모빌 카시트 모빌로 강추 합니다 ], 긍정 텍스트 확률 : 62.52%"
"[..끄레델을 통해 제품을 제공받아 객관적으로 작성한 후기입니다. ], 긍정 텍스트 확률 : 62.54%"
"[ 임신 주출산준비물 구입], 긍정 텍스트 확률 : 52.19%"
"[아이올베이비페어 방문 ], 긍정 텍스트 확률 : 50.77%"
"[전시회도 박람회도 보러 다니는 걸 좋아하던 내가 유일하게 가보지 못한 곳이이 베이비페어인데 이제야 가보게 되었다.], 긍정 텍스트 확률 : 65.96%"
"[여기저기 선물도 받고산모교실에서 물품도 많이 쟁여 놓았지만 육아용품은 또 신세계 필요하면 끝도 없이 필요한 게 생길 것 같고 또 모르쇠로 일관하면 또 괜찮기도 할 것 같은아무리 봐도 모르겠는.?출산용품리스트출산용품리스트 직접 보고], 긍정 텍스트 확률 : 79.85%"
"[어떤 물품들이 좋은지 어떤 것들이 필요한지 볼 필요는 있겠다 싶어서 큰마음 먹고 베이비페어를 방문했다.], 긍정 텍스트 확률 : 89.96%"
"[기저귀 가는 법], 긍정 텍스트 확률 : 50.30%"
"[목욕하는 법 등 연습해놓으면도움이 될 것이라고 선생님께서 말씀해주셨던 기억이 있어서 마음에 드는 아가 인형 하나 모셔오고 싶었지만 늘 내 마음에 드는 아가 인형이 없어 사질 못했건만다음 달이면 실제 뚜둥이가 나올 것이야지금 사기엔 좀 그렇다 ], 긍정 텍스트 확률 : 99.97%"
"[얘는 홈플러스에서 만난 아가 인형인데쟤랑 얘랑 쌍둥이인가 봐ㅋㅋㅋ제품보다 아가 인형에 관심을 보여하니대략 난감한 직원의 모습], 긍정 텍스트 확률 : 60.88%"
"[모유 수유를꼭꼭꼭 하고 싶다.모유 수유를 해도 젖병 소독기는 여러모로 쓸 곳이 많다고 해서 관심 있게 살펴보았다. 완벽한 건조], 긍정 텍스트 확률 : 89.45%"
"[공간도 충분한 게 좋다는 젖병소독기아이올베이비페어에는 유팡이랑 해님 젖병소독기가 전시되어 있었는데 생각보다 크기도 크고], 긍정 텍스트 확률 : 99.49%"
"[중간에 열면 다시 가동된다는 단점들의 후기들을 읽고 해님 쪽으로 마음이 기움], 긍정 텍스트 확률 : 90.07%"
"[아가 잘 공간이 마땅치 않아범퍼침대는 꼭 보고 와야지 생각하고 왔는데인터넷으로 찾아봤던놀이매트도 되고 범퍼침대로도 변형이 되는 제품들은실제로 보니 부피가 눈물 나게 크고내가 생각했던 모양새와 느낌이 아니었던 터라돌고 돌고 방황하던 중 ], 긍정 텍스트 확률 : 59.76%"
"[사람 많았던 이곳 쁘띠베이비 에서 설명을 듣게 되었다.범퍼 침대 모든 부분이 지퍼로 연결되어 있어서 분리도 쉽고], 긍정 텍스트 확률 : 96.11%"
"[세탁도 쉽고 충전재도 튼튼하고범퍼 침대로 쓰다가 놀이 공간으로 쓰다가플레이하우스로 쓸 수도 있다고세까지 사용할 수 있다는데 진짜 진짜?특대형은 나도 쑥 들어갈 수 있는 넓이와 크기라 불편함이 없겠다 싶어서 마음이 혹했다.좀만 더 보고 올게요], 긍정 텍스트 확률 : 80.67%"
"[알러지 케어 침구를 알아봤는데으잉 바로 이 뒷부스 범퍼침대 풀세트에 다 포함이 된다는 마음에더 호오옥 ♡ ], 긍정 텍스트 확률 : 81.00%"
"[내 주변 육아 선배들이도가니 나간다고 꼭 아기침대를구입하거나 대여하라는 조언들이 많았는데 평생 무료 구름솜 충전 서비스와 아기침대를 무료로 일 대여해주는 서비스도 있어서 더 마음에 호오오옥하는 것 ♡모빌도 인형도 프레임도 범퍼침대도 다 포함되는 토이 알로스케어 그레이 범퍼침대 풀세트로 구입했다. ], 긍정 텍스트 확률 : 68.89%"
"[오가닉 가슴 침받이도 구입하고], 긍정 텍스트 확률 : 76.35%"
"[사은품으로 받은 쁘띠베이비 선물 엉덩이 부분에 포인트가 있어서 귀염지다.], 긍정 텍스트 확률 : 60.48%"
"[이건 유니클로에서 후리스 올인원이 오천원이라 오예하면서 샀는데 사실 어떤 사이즈를 사야 할지 감도 안 오고 이것저것 예쁜 옷들은 많은데 사이즈를 몰라서 내려놓은 것도 많다. 다행인 건가 ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 59.47%"
"[박람회라 여러 브랜드와 제품들이 한 자리에], 긍정 텍스트 확률 : 58.46%"
"[눈으로 비교해서 볼 수 있고], 긍정 텍스트 확률 : 78.60%"
"[만져보고 체험해볼 수 있고], 긍정 텍스트 확률 : 63.24%"
"[특가나 챙겨주는 사은품들도 많아서], 긍정 텍스트 확률 : 59.52%"
"[뭔가 뚜렷하게 살 계획이 있으면], 긍정 텍스트 확률 : 76.03%"
"[몸 무거워지기 전에 꼭 방문하면 좋은 혜택들을 많이 누릴 수 있을 것 같다는 생각 ], 긍정 텍스트 확률 : 92.01%"
"[월에 킨텍스에서도 코엑스에서도여러 베이비페어들이 열리던데 몸은 안 따라주겠지만 가고 싶은 마음이 굴뚝몰아치기 포스팅으로 오랜만에 이웃님들 순방가야지 이것만은 꼭 사야 합니다아이템이 있으면 알려주세요오오오옹 호잉호잉], 긍정 텍스트 확률 : 93.14%"
"[ 프라모델 고객님이 제공하는 제자에게 일회용품 유아구강케어 쿠팡에서 일간 최대추가캐시적립중이에요. 꼭 받아가세요특가상품은 조기 품점이 되니 유의바랍니다.], 긍정 텍스트 확률 : 92.17%"
"[ 유아세제 회원님의 거부 원예 기타유가공품 기타채소▼.], 긍정 텍스트 확률 : 66.63%"
"[↓아래 내용는 실제 구매고객이 작성한 리뷰입니다↓ ], 긍정 텍스트 확률 : 84.95%"
"[게시일. 포스팅 시기에 따라 제품의 가격 및 재고의 변동이 있을수 있습니다. 이 포스팅은 제휴마케팅이 포함된 광고로 일정 커미션을 지급 받을 수 있습니다.], 긍정 텍스트 확률 : 86.49%"
"[ 주방용품 발레복발레용품 유아홍삼 국제표준 스니커즈슬립온 무이자할부 미등록 업체의 체중감량 찾아뵙도록 믹싱볼채반밧드 전집 유아책장책꽂이 푸트 원피스스커트 사무용품 관상어수생동물 욕실거울 색상 수납케이스 가스레인지 있다는 천도교 땅콩호두 이메일 머플러스카프숄 남기지 괌사이판기타 로그아웃 밖에 입마개 수영복래쉬가드 오피스간식용품 사길 이불솜속 보세요 백팩보조가방 프린터복합기 바인더파일 핑크 만년필 성격에 솔직한 비닐포장용품 줄조명 면도기 위생변기용품 디지털 경제시사잡지 보온보냉용품 테마관 인증획득 남아 대상별 수납정리소품 정치외교 다이어트 차량용디지털 홍삼진액파우치 고객에게 방향탈취제습 유아목욕용품 누리과정 추가적립 질문 본문 의류신발 교통수단 탁상용가전 활동보조 원불교 의자소파 생리대 바로 방지하기 인삼수삼장뇌삼 건강에세이 참치스팸통조림류 등상품상세 요패드 보트잠수함 티포트전기포트 무민 이유유아식기 해외건강도서 학습벽보 초대 확인하고 마리오네트 영화비디오 여성젠더 공룡동물 펜션캠핑 피젯토이 치아 파스텔콩테목탄 만화애니메이션 세면대세면기 적립이벤트 세차호스세차버킷 최대 기저귀매너벨트 음악시간 보냉백런치백 스포츠오락 제조자수입자 제한 아우터 유아동물병주머니 활동량에 노트메모지 씨앗텃밭세트 배송주문취소교환반품 클릭하면 지리학지정학 벽돌블록빅블록 건조간식육포 아기상하복세트 면 쿠팡 자수십자수 테마소설 콩팥보리 주방가구 할인 유제품가정배달 관리용품 치료법 디지털사무기기 육수액젓 기술 홀리데이 골프백 나이프 유교도교 상품평에 음료 낮잠이불 물엿올리고당조청 역사 정사이즈예요 부드러운 훌라후프줄넘기 호흡수면건강 상품정보에 타이어휠 오이고추열매채소 멀티미디어 쿨러백보온보냉소품 토스터간식메이커 포켓몬스터 목욕놀이 외출상하복세트 인테리어소품 요리 노출을 여권커버네임택 로봇 스트레칭마사지 미니언즈 무료체험 전통주 볼풀공 남성스킨케어 나침반망원경 고객의 신고하기 아니라 주소 치약칫솔 침실가구 전자금융거래분쟁처리담당 키위참다래 젖병젖꼭지 페이스북 인식표목걸이 슬리퍼실내화 지지 면도기날 접착보수용품 수예수선 남성샌들쪼리 유아동컵빨대컵 제주관광지 요가체조기타 제모슬리밍청결제 예약 철분 운동화가죽크리너 식품뷰티주방용품 학습학교 트리트먼트팩 사회 사과배 튜브 오메가피쉬오일 주방놀이 등가 양파마늘파 사용 원브랜드 권장 볼링화 호텔뷔페 내용은 숟가락티스푼 문학전집 해당 자몽레몬라임석류 완구 선반정리대 후기게시판을 법적인 보호대교정용품 하우스울타리 증산도 만화라이트노벨 아기띠액세서리 디즈니 전체보기 도미노 유산균 더모코스메틱 살균방충제 상품이 베이비 두피헤어관리 탄산수 유아식탁부스터 멸치천연조미료 주방수납잡화 아기돌보기놀이 없이 슈퍼곡물 야구 상품이미지 더보기 미끼떡밥루어 종이인형코디북 어린이 니트류조끼 필요한 사이즈연령 김영 여행가방소품 비데온수기 공예 잼베이비 초콜릿 먼지털이개 원목블록 쿠팡상품번호 신뢰도 핸디청소기 스트레칭균형 후드 신생아영아완구 욕실용품스킨케어 약품수질측정 딸랑이 청소년 수유패드 도어냉장고 기능 구강보조용품 김범석고명주정보람 하이엔드컴팩트 드레스퍼퓸 돗자리코일매트 드라이플라워 즐거운 라떼용품 샐러드손질채소 쇼핑 레고 기타정리용품 페이스소품 실 쿠팡캐시 위생뷰티 혈액응고 고객이 조명인테리어 형광펜 아기띠 나노블록 유화 풀백장난감 전용지 육고기 자전거부품 초티라이트 기저귀약파우치 바이크오토바이 붓 붓펜캘리그라피펜 개인정보보호 골드 곳이며 햄스터 배변용품 지브리 비상안전용품 프로폴리스 분유 송파대로 정수기냉온수기 유아공부상책상 공구자재 머그드링크자 기타건강즙 운동용품 펜리필심 면도 마트장보기 계란알류가공란 어린이음료 좋지 파티이벤트 착용감 마트계산대놀이 안전표시 봉투 유럽미주하와이 기저귀가방파우치 인라인스케이트 냉장고 천장등벽등 미용목욕 구기종목 배전함잠수함 건강식품물 차량용청소기 화투트럼프마작 기준 골프화 보온내의 취미 외 발급됩니다 봉제인형 학생사무용가구 필터액세서리 디저트 장갑시즌잡화 실놀이이벤트 일반겸용세제 출력라벨지 볼풀볼텐트 블루레이 배송교환반품 베개 잔텀블러 이상남아패션 전환 비행기전투기헬기 모래놀이 모서리코너보호대 손뜨개자수 혈행 사진 유니폼 휴대용유모차 과도 무선스틱청소기 꽃다발꽃선물 달라요 사항은 비타 런닝화운동화 동동이 건강도서 실내복입니다 장식부자재 기간 네일팁스티커 메시조 내비게이션 심리학심리일반 취소나 사각십자블록 검색 안테나볼 제공할 백패킹 등 소지를 이유식조리용품 홈세트 음료선물세트 새송이버섯류 외출할 제휴업체의 콜크보드게시판 안전밴드 아트보드렌지가드 바비 바디커버 헬스건강식품 캐주얼세트 홍삼캔디젤리 주니어 편지지 반찬절임 붕붕카 악세서리 현재 니트스웨터 네일세트 테마파크 구매한 캠핑전문관 예고 감사합니다 빠샤메카드 선택해주세요 커버 지도지리 복사용지 멀티소켓 한국고대고려사 한복한복소품 아기내복세트 잘못된 일회용용기도시락 안 유아타올 혜택월 조화비누꽃 개별 비데 폼랜스폼건 여성패션 티맨투맨후디 생활 미아방지용품 가능 식기세트 생활용품 의류패션 종합선물세트 넥라인이 커튼 국방군사 남성정장구두 페럿용품 도구이며 앨범 멀티포트티포트 리스트 있습니다 스커트치마 개인정보 주의사항 전화기무전기 등의 혈압 빔프로젝터스크린 자동차용품 원칙 적립됩니다 등록한 메모보드 인삼건강차재료 멀티메이크업 건담 남성등산의류 홍삼인삼 명품화장품 생활잡화 유아동수저 찜 사무용문구 제자에게 저장장치배터리 미니카 바구니칸막이 흙영양제살충 판매자를 키친타올 수유용품 라디오카세트 비치웨어래쉬가드 수산물선물세트 이벤트쿠폰 말아주세요 네임스티커명찰 미션오일 기저귀가방 유제품아이스크림 개의 루프캐리어용품 워킹 조화드라이플라워 쇼카드 향기지속제 껌 유모차웨건 그릇식기 서양철학 건조기탈수기 시그 리뷰어는 다이어리 젖병세척용품 에어프라이어 사업자 두유 덴탈껌 결제 목욕놀이완구 안전바안전테이프 정치 네일아트소품도구 완구취미 사다리운반용품 내륙기차여행 어느 배드민턴복 체지방감소제 베이블레이드 로스터그라인더 쌀통잡곡통항아리 케찹마요네즈 효능별 박탈 순위가 세탁세제 두뇌게임 형태로 싱글하우스 음향기기 책임을 준비물 목적의 부품액세서리 캣닢캣글라스 양주현님 물컵주스컵 여름아기나시상하복세트 채반소쿠리 자세히보기 책임은 아이 훈련연습용품 보보 곰지 휴지통분리수거함 비오틴 부품튜닝 같아요 파우치 페이스메이크업 슬링 월 계좌번호 폴라로이드앨범 캐릭터샵 봄가을 리뷰어게는 균형순발력게임 신생아내복세트 메뉴 산책용품 선반수납장 문의는 미주하와이 메이크업 임신출산태교 가전디지털 액션캠캠코더 얼룩찌든때 예술대중문화 토마토자두복숭아포도 흰둥이 않습니다 운영원칙 폼블럭타일벽돌 모기장캐노피 국기깃발깃봉 베개롱쿠션 뒤집기방지쿠션 없는 티켓패스 병원의료용품 중량 빙벽겨울용품 장르만화 이용 전기요매트 그 양말스타킹 장바구니 건강측정용품 쇼핑하세요 블라우스셔츠 검색전체삭제최근검색어끄기 스밋코구라시 램프전기용품 풀장수영장 희곡시나리오 컴퓨터 좌대야외용품 골드박스 그네그네봉 자동차 마스크 쿠키파이 주변기기 지붕차 건강의료용품 정보 즉석기타카메라 놀이터널 남성스포츠의류 돼지고기 비스킷크래커 여행용키트 추천 인스타그램 키즈 욕실용품 성에김서림방지 오일필터에어필터 전기포트 교환환불 구매내역에서 봄가을아기상하복세트 유두보호젖몸살용품 응원페스티벌 글루코사민 인문사회경제 최근 수정하기 카테고리 여아패션 머니 지압마사지용품 바로가기 따를 치약 노리개젖꼭지 낚시복장화 스노우체인 리뷰어에게 시사풍자만화 수영용품 운동측정용품 단스탠드 화장지생리대 비평창작이론 색연필 랩호일유산지 애니메이션 정보에 잉크토너 소동물가축용품 무형광 하이패스 관련하여 유아항균지퍼팩 캘리그라피 압축팩커버 오해의 인터넷비즈니스 교육 소고기 한국문화 정기배송 질병과 내의 도배 할인혜택 가격 안전호신용품 운영원칙에 선택사항 지구본지도 커피잔찻잔 마네킹 스킨케어 신뢰도가 유아키재기스티커 모래화장실 요가복 간 예정 플레이모빌 축구 바구니바스켓 퍼즐 캣타워스크래쳐 관계없는 커버력 나타낼 전통인형 인형집 플라워치료 취해질 등산의류 자체와 손건조기소독기 장르소설 조리도구 자격 인해 작은 종 마이크레코딩 페이지 세탁청소용품 아이스박스아이스팩 전용냉장고 그림사진 소품 상품평을 음악악기놀이 등은 뽀로로 청소도구 신비아파트 분필보드마카 힙시트캐리어 스케이트보드 카드할인 추가적립캐시적립 상품평이 휴대폰게임 유럽사 헤어 허위과장광고 유의해주세요 책임이 샤워기헤드 캠핑주방용품 예술기행 캔파우치 다리미재봉보풀 동영상 키보드마우스 젖병소독기건조대 네일케어도구 글과 베스트순 남아용 로봇우주선 레트로기타게임 체중관리측정기 메모리카드리더기 미술점토 필통파우치 어댑터충전기 대하여 의상분장용품 욕실매트발판 튜닝용품 보틀워머보온병 괌사이판호주 테마의류 영유아카시트 함께 캐릭터별완구 유아이불 다이어리소품 위해 중국사 마이쿠팡 인증 자켓집업 묶음배송 전체전체여성패션남성패션베이비패션 봄가을우주복턱받이세트 바이루체 캐릭터 실내승용완구 패딩아우터 헤드폰 상품을 공연전시 도마 그러하다고 축산선물세트 무료배송 옵션 최고 컵소품 블록놀이 등에 소설에세이시 바디케어 가정가족 남태평양 보통 골프 태블릿 꿈나라신상 반영하므로 풍선 퇴치기 역할놀이 했어요 실시간항공권 건강정보 봉투포장용품 마이크믹서 꽃잎폭죽불꽃놀이 우산우비 뱃지 반짇고리세트 통살소시지 항산화 아기모니터 빵칼 커피머신커피메이커 사무용가구수납 스카이콩콩 과자초콜릿시리얼 서빙스푼스쿱 피해를 청소용품 목베개안대 사무용지복사지 취미실용스포츠 유아물티슈 아크릴화 와인잔샴페인잔 렌즈 상세한 문제가 세탁비누 안전모산업장비 계단펫스텝 밀대청소포 노트북 포토프린터용지 낚시놀이 베이비룸 링크를 후기인 멀봐 키즈테이블웨어 홍삼정과절편 스포츠 하단 냄비프라이팬 유아담요블랭킷 세탁할 클로렐라 씻을 마카 생활편의 이동가방캐리어 축구화 익스테리어 보호장비커버 섬네일을 가루조미료오일 주방일회용품 유무 여성단화플랫 프로틴 법령에 게이밍노트북 확률도 주의하시기 어린이완구 모기퇴치용품 구슬퍼즐 나사조립블록 수정이 장스탠드 계절가전 문의내용 완구교구 다음과 아이웨어 소꿉놀이 통신판매중개자로서 생수음료 실놀이 방음도색공구 점핑볼 철학사상 양면내의 세제선물세트 수유이유용품 랭킹 선택하신 별이 소설 냉동고 티켓 장난감총칼 이용해주세요 경제경영 샐러드볼시리얼볼 거북이달팽이용품 립 거울 그저 타요 숙취건강음료 컴퓨터디지털 바운서 건강측정의료기 대한통운이벤트 건축 조선사 고양이 골프장갑잡화 예상보다 헬로카봇 아기띠외출용품 만원 뱃지는 올 ], 긍정 텍스트 확률 : 100.00%"
"[ 디즈니랜드상기콘지아이와 함께 다니면 비상식량은 필수], 긍정 텍스트 확률 : 80.08%"
"[전날밤 마트에서 사 놓은 우유흡입 웰컴마트역에서 숙소방향으로 있고 편의점도 있었음], 긍정 텍스트 확률 : 78.33%"
"[느끼할수도 있으나 개취 ], 긍정 텍스트 확률 : 68.32%"
"[ 셩완역센트럴역에서 홍콩역으로 이동환승구임 걸어서 홍콩역으로 이동하면 됨홍콩역써니베이역내리자마자 디즈니모양의 전철로 갈아타고 한정거장 이동 ], 긍정 텍스트 확률 : 82.59%"
"[기다리다가 포기하고 우비입혀서 출동 ], 긍정 텍스트 확률 : 91.40%"
"[하이파이브 한번에 울 둥이들 기분이 엄청 좋아졌다는 하하 랜드파크투머로우랜드 ], 긍정 텍스트 확률 : 83.17%"
"[ 오비트론투머로우랜드 우리나라 놀이동산가면 키가 가 안되서 타고싶어도 못타는게 거의 다인데 이 곳 역시 키제한은 있지만 놀이기구 퀄리티는 우리나라넘어야 탈 수 있는 수준인듯 ], 긍정 텍스트 확률 : 56.07%"
"[ 뗏목타잔의 나무 위의 집으로 건너가는 수단어드벤처랜드 ], 긍정 텍스트 확률 : 56.56%"
"[시분정도 하고 밖에 더웠는데 잠시 쉬어가기용으로도 좋았네요], 긍정 텍스트 확률 : 71.12%"
"[아이들은 진짜인줄 알고 엄청 좋아했고 배에서 설명해주시는 분 덕분에 더 재밌게 관람 ], 긍정 텍스트 확률 : 97.49%"
"[이때 이후로 롯데월드 햇님달님이 그냥 즐기기용이 됐다는 하하한시간동안 탑승자를 봐도 우리애가 가장 어렸음], 긍정 텍스트 확률 : 88.48%"
"[아들 말로는 재밌었다는데 아주아주 나중에 한번 더 타겠다고 함 ㅎㅎㅎ ], 긍정 텍스트 확률 : 72.11%"
"[이거 거의 남기고 왔음 ], 긍정 텍스트 확률 : 83.87%"
"[그러자 앞에 계셨던 외국인 커플 분께서 앞자리 내어주셔서 잘 볼 수 있었음 아직도 이때 얘기하면서 또 가자고 조르는 아들 딸 ], 긍정 텍스트 확률 : 99.33%"
"[ 아이언맨 사랑 아들딸 여기 또 들려야 한다고 해서 퍼레이드 끝나고 또 들림 밤이되니 불이 들어와서 다시 보는 느낌 하하 ], 긍정 텍스트 확률 : 83.91%"
"[ 다시 셩완까지 돌아오다보니 왠만한 곳은 문을 닫아서 방황하다가 숙소 바로 아래 아이들 먹일 수 있는 피자가 있어서 바로 고 기대이상의 맛과 친절한 사장님 덕분에 기분좋은 마무리 ], 긍정 텍스트 확률 : 99.79%"
"[ 다시 이곳을 가게되면 또 들리고 싶은 곳], 긍정 텍스트 확률 : 94.02%"
"[피자 맛이 너무 좋았고 보니 수제버거로 유명한 집이였나보다시가 다 되서 들어갔는데 영업종료시간이 다 되어감에도 불구하고 아이가 있어서 그랬는지 흔쾌히 들어오라고 하셔서 음식도 만들어주시고 메뉴설명도 잘 해주심 가게이름], 긍정 텍스트 확률 : 96.89%"
"[ 사장님 보행기 가격알수있을까요?], 긍정 텍스트 확률 : 64.01%"
"[보행기 가격문의드려요], 긍정 텍스트 확률 : 66.13%"
"[ 키로사이즈 입고된거있나요?], 긍정 텍스트 확률 : 61.21%"
"[키로 여아 암링만 있고요는 도리를 찾아서 입고중입니다], 긍정 텍스트 확률 : 51.86%"
"[이것랑 뽀로로원풀 가격문의드려요.], 긍정 텍스트 확률 : 78.44%"
"[햇님토이 키친 플레이하우스원뽀로로 타원풀 원입니다], 긍정 텍스트 확률 : 80.85%"
"[저도 보행기 가격문의요 ], 긍정 텍스트 확률 : 52.93%"
"[챗드릴께요], 긍정 텍스트 확률 : 66.13%"
"[챗드려요], 긍정 텍스트 확률 : 66.13%"
"[혹시 베일리바오 헬멧. 있는지요], 긍정 텍스트 확률 : 63.34%"
"[네 아직 있어요], 긍정 텍스트 확률 : 77.89%"
"[구성품 뒤죽박죽입니다. 괜찮으시죠?], 긍정 텍스트 확률 : 88.75%"
"[토마스 기차받고싶어요], 긍정 텍스트 확률 : 50.43%"
"[죄송해요 윗분이 하시고 싶으시대서], 긍정 텍스트 확률 : 56.73%"
"[하얀하얀공오 아니예요 감사합니다], 긍정 텍스트 확률 : 69.55%"
"[번만 가능하실듯이요. 먼지가 좀 있어도 괜찮으시죠?], 긍정 텍스트 확률 : 54.12%"
"[네 괜찮아요 주시면 감사히 쓰겠습니다], 긍정 텍스트 확률 : 86.31%"
"[ 퀴니사고싶네여ㅜㅜ뚜벅이라..힝], 긍정 텍스트 확률 : 77.55%"
"[퀴니 전시상품대만특가ㅠㅠ.....♥], 긍정 텍스트 확률 : 99.80%"
"[득템육아창고형사고싶은데 아직안팔렷나용ㅋ.ㅋ], 긍정 텍스트 확률 : 73.14%"
"[재용맘달려오세요퀴니가커서ㅠㅠ아직있어요.], 긍정 텍스트 확률 : 98.44%"
"[ 감사합니다], 긍정 텍스트 확률 : 84.51%"
"[좋은 정보 감사합니다], 긍정 텍스트 확률 : 95.26%"
"[저도정독했어요정보 감사해요], 긍정 텍스트 확률 : 88.39%"
"[우와감사해요 ㅋㅋ쪽집게 과외같은 느낌받았아요 ㅎㅎ 정말도움 많이됬네요], 긍정 텍스트 확률 : 99.11%"
"[우와 정보 감사 해요], 긍정 텍스트 확률 : 80.75%"
"[와 직접경험하고 하나하나 집어준글이라 너무 잘읽히고 도움되었어요감사합니다], 긍정 텍스트 확률 : 94.07%"
"[감사해요♥], 긍정 텍스트 확률 : 99.76%"
"[감사합니다], 긍정 텍스트 확률 : 84.51%"
"[정말 감사해용 ♡♡], 긍정 텍스트 확률 : 89.79%"
"[챗 드릴게요 ], 긍정 텍스트 확률 : 66.13%"
"[챗 드릴게요 ], 긍정 텍스트 확률 : 66.13%"
"[챗 드릴께요 ], 긍정 텍스트 확률 : 66.13%"
"[불발시 챗 드릴게요 ], 긍정 텍스트 확률 : 66.13%"
"[허니사랑네], 긍정 텍스트 확률 : 68.46%"
"[스와들업줄서보아요], 긍정 텍스트 확률 : 52.10%"
"[모빌대 원합니다 호매실 어디사세요?ㅎㅎ], 긍정 텍스트 확률 : 71.07%"
"[아 안적었네요 능실초쪽이에요], 긍정 텍스트 확률 : 57.89%"
"[내새끼참잘큰다남편이 시반에 퇴근해요 혹시 퇴근후 오늘 가도될까요? 쳇드릴게요], 긍정 텍스트 확률 : 74.19%"
"[아뇨 사시는분 필요하시면드림합니다], 긍정 텍스트 확률 : 55.95%"
"[책 가능하세요. 가렌다는 윗분이 적어주셔서요.], 긍정 텍스트 확률 : 59.93%"
"[거래중인데요. 저녁에오신다니 불발되면 연락드릴께요], 긍정 텍스트 확률 : 87.69%"
"[더니죄송합니다. 판매 완료 되었습니다. 가져가셨어요 ], 긍정 텍스트 확률 : 66.25%"
"[아이들이 좋아하겠습니다.], 긍정 텍스트 확률 : 74.47%"
